code,subtype,type,src/0,src/1,title,price,location,size,measurement,suitability/0,suitability/1,suitability/2,src/2,src/3,suitability/3,suitability/4,suitability/5,suitability/6,suitability/7,suitability/8,src/4,src/5,src/6,src/7,src/8,src/9,src/10,src/11,src/12,details/0,details/1,details/2,details/3,details/4,details/5,details/6,room,bath,subtitle/0,suitability/9,suitability/10,suitability/11,suitability/12,suitability/13,suitability/14,suitability/15,suitability/16,suitability/17,suitability/18,suitability/19,suitability/20,subitle,suitability/21,suitability/22,suitability/23,suitability/24,details/7,subtitle/1,subtitle/2,subtitle/3,subtitle/4,details/8,subtitle/5,details/9,details/10,details/11
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/vgc.mp4,,"2,100 SQM of land facing the express way at vgc, lekki","₦ 1, 6000, 000, 000",Yaba Lagos,"2,100",sqm,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: Governor's Consent,,,,,,,,,"Prime 2,100 sqm beside VGC estate. The land is sand filled, fenced and gated",Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
X102,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/prop-20.jpg,,"5 Plots Corner Piece Land at Agege Motor Road Mushin, Lagos","₦ 900, 000, 000",Mushin Lagos,5,plots,Private residence,Duplexes,Townhouses,,,Small block of flats,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,Guesthouse,,,,,,,,,,title: Deed of Assignment,,,,,,,,,"Mixed development corner piece land measuring 5 plots and bothering 3 streets, at Mushin Lagos",School,Clinic,Small hospital,Religious center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,,,,
B101,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/4.25-Iju/acl1.jfif,,"Distress Sale Offer. 2 Plot at Greenland Estatee Ajah, Lagos","₦ 250, 000, 000",Ajah Lagos,2,plots,Private residence,home Office building,Boutique,,,Guesthouse,Small hospital,Religious center,Supermarket,Mixed-use building,,,,,,,,,,,title: Registered Conveyance,,,,,,,,,"2 Prime plots of residential land inside Greenland estate, just behind Royal Garden estate, Ajah Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,
B101,cfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/storey.jpg,,multi storey commercial complex at ikeja,"₦ 12, 000, 000, 000",Allen Avenue Ikeja,"6,000",sqm,office suites,retail outlet,mixed-use development,,,,,,,,,,,,,,,,,,title: Registered Conveyance,,,,,,,,,"A 6 storey commercial complex with penthouse of over 6,000 sqm lettable space is available for sale on Allen Avenue",,,,,,,,,,,,,,,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/oslo.mp4,,"Oslo Private Island Ikoyi, Lagos","₦ 300, 000, 000",ikoyi Lagos,600,sqm,Private vacation home,Luxury villa or beach house,Eco-friendly cabin or retreat,,,Tiny resort with 2–3 huts,Glamping site (luxury tents),Mini nature reserve or sanctuary,Romantic getaway / honeymoon spot,Adventure tourism base,Yoga or wellness retreat,,,,,,,,,,title: Deed of Assignment and C of O,,,,,,,,,"Prime, exclusive and prestigious private island directly behind Banana island Ikoyi, Lagos",Artist or writer's residency,Fishing or snorkeling station,Private event venue,Floating restaurant or bar (if extended),Lighthouse-style lookout point,Marine research outpost,Off-grid living experiment,Filming or photo shoot location,Boutique Airbnb rental,,,,,,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/oslo.mp4,,"Oslo Private Island Ikoyi, Lagos","₦ 500, 000, 000",ikoyi Lagos,900,sqm,Private vacation home,Luxury villa or beach house,Eco-friendly cabin or retreat,,,Tiny resort with 2–3 huts,Glamping site (luxury tents),Mini nature reserve or sanctuary,Romantic getaway / honeymoon spot,Adventure tourism base,Yoga or wellness retreat,,,,,,,,,,title: Deed of Assignment and C of O,,,,,,,,,"Prime, exclusive and prestigious private island directly behind Banana island Ikoyi, Lagos",Artist or writer's residency,Fishing or snorkeling station,Private event venue,Floating restaurant or bar (if extended),Lighthouse-style lookout point,Marine research outpost,Off-grid living experiment,Filming or photo shoot location,Boutique Airbnb rental,,,,,,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/oslo.mp4,,"Oslo Private Island Ikoyi, Lagos","₦ 2, 345, 000, 000",ikoyi Lagos,2800,sqm,Private vacation home,Luxury villa or beach house,Eco-friendly cabin or retreat,,,Tiny resort with 2–3 huts,Glamping site (luxury tents),Mini nature reserve or sanctuary,Romantic getaway / honeymoon spot,Adventure tourism base,Yoga or wellness retreat,,,,,,,,,,title: Deed of Assignment and C of O,,,,,,,,,"Prime, exclusive and prestigious private island directly behind Banana island Ikoyi, Lagos",Artist or writer's residency,Fishing or snorkeling station,Private event venue,Floating restaurant or bar (if extended),Lighthouse-style lookout point,Marine research outpost,Off-grid living experiment,Filming or photo shoot location,Boutique Airbnb rental,,,,,,,,,,,,,,,,,,
A108,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/land1.jpg,,"90,000 bareland beside cowrie creek estate lekki, Lagos","₦ 650,000/sqm",lekki Lagos,"90,000",sqm,Industrial estate,Large housing estate or residential community,Tech park or innovation hub,,,University or tertiary institution campus,Hospital complex,Event village or expo center,Theme park or amusement park,Golf course,Sports complex or stadium,,,,,,,,,,title: Governor's consent,,,,,,,,,"Prime 90,000 Sqm of land on spar road, Lekki. Owner willing to sell a minimum of 10,000 sqm",Airstrip or helipad base,Logistics park,Tank farm,Solar farm,Agricultural farm or plantation,Resort and hotel development,Gated luxury villa estate,Film village or creative city,Automobile assembly plant,Oil & gas depot,Port support facility,Government facility or training center,,Data center cluster,Smart city pilot development,Construction materials market,Cemetery or memorial park,,,,,,,,,,
A108,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/land2.jpg,,"3 plots of land on kusela road ikate lekki, Lagos","₦ 1,500,000,000",lekki Lagos,3,plots,Private vacation home,Luxury villa or beach house,Eco-friendly cabin or retreat,,,Tiny resort with 2–3 huts,Glamping site (luxury tents),Mini nature reserve or sanctuary,Romantic getaway / honeymoon spot,Adventure tourism base,Yoga or wellness retreat,,,,,,,,,,title: C of O and Deed of Assignment,,,,,,,,,"3 plots of land by Lemoria Estate, Kusela road, Lekki. Owner willing to sell a single unit per plot.",Artist or writer's residency,Fishing or snorkeling station,Private event venue,Floating restaurant or bar (if extended),Lighthouse-style lookout point,Marine research outpost,Off-grid living experiment,Filming or photo shoot location,Boutique Airbnb rental,,,,,,,,,,,,,,,,,,
A108,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/land3.jpg,,"8,500 sqm of land on remi olowude street, lekki Lagos","₦ 1, 200, 000/sqm",lekki Lagos,"8,500",sqm,Private vacation home,Luxury villa or beach house,Eco-friendly cabin or retreat,,,Tiny resort with 2–3 huts,Glamping site (luxury tents),Mini nature reserve or sanctuary,Romantic getaway / honeymoon spot,Adventure tourism base,Yoga or wellness retreat,,,,,,,,,,title: C of O,,,,,,,,,"8,500 Sqm of land on Remi Olowude Street, Lekki. Owner willing to sell as a single unit or can be split into two plots of 6,100 Sqm and 2,400 Sqm",Artist or writer's residency,Fishing or snorkeling station,Private event venue,Floating restaurant or bar (if extended),Lighthouse-style lookout point,Marine research outpost,Off-grid living experiment,Filming or photo shoot location,Boutique Airbnb rental,,,,,,,,,,,,,,,,,,
